,rating,genre,year,score,votes,budget,gross,runtime,month,continent
73,R,Comedy,2011,6.3,52000.0,23000000.0,7550073.0,97.0,March,North_America
74,PG_13,Comedy,2001,5.7,55000.0,46000000.0,138307673.0,102.0,July,North_America
75,Not_Rated,Fantasy,2008,6.6,30000.0,1500000.0,32118.0,93.0,September,North_America
76,R,Drama,1993,7.0,2500.0,800000.0,1001437.0,114.0,November,North_America
77,PG,Comedy,1982,3.9,653.0,19000000.0,2279543.0,110.0,September,North_America
78,R,Action,1988,7.3,117000.0,4000000.0,13008928.0,94.0,November,North_America
79,R,Action,2013,6.1,36000.0,25000000.0,5464885.0,105.0,July,North_America
80,R,Comedy,1984,6.1,4000.0,9000000.0,27774237.0,107.0,October,North_America
81,PG_13,Comedy,1990,7.4,10000.0,230000.0,2960492.0,98.0,August,North_America
82,R,Comedy,2019,7.2,102000.0,6000000.0,24959607.0,102.0,May,North_America
83,PG_13,Drama,2018,5.5,34000.0,30000000.0,9330075.0,107.0,January,Europe
84,PG,Comedy,2010,7.7,85000.0,14000000.0,4324817.0,90.0,September,North_America
85,PG,Comedy,2003,5.6,65000.0,60000000.0,164433867.0,92.0,May,North_America
86,PG,Drama,1988,7.3,13000.0,10000000.0,1562749.0,81.0,November,North_America
87,R,Comedy,2011,7.6,320000.0,8000000.0,41097853.0,100.0,September,North_America
88,PG,Action,1981,8.4,905000.0,18000000.0,389925971.0,115.0,June,North_America
89,PG_13,Adventure,2013,7.8,432000.0,55000000.0,218791811.0,134.0,October,North_America
90,PG,Comedy,1980,7.7,221000.0,3500000.0,83453539.0,88.0,July,North_America
91,PG_13,Action,1998,6.2,168000.0,75000000.0,349464664.0,120.0,May,North_America
92,PG_13,Drama,2015,6.1,15000.0,25000000.0,906995.0,110.0,August,North_America
93,PG_13,Drama,2004,6.0,27000.0,25000000.0,27685016.0,86.0,February,North_America
94,R,Action,2013,5.7,71000.0,30000000.0,5186767.0,104.0,November,North_America
95,PG,Biography,1984,8.3,377000.0,18000000.0,52066791.0,160.0,September,North_America
96,R,Action,2019,6.1,87000.0,50000000.0,91490353.0,89.0,September,North_America
97,R,Crime,1996,6.2,14000.0,20000000.0,26877589.0,101.0,January,North_America
98,R,Drama,2014,7.7,493000.0,15000000.0,36869414.0,108.0,April,Europe
99,R,Drama,2008,6.7,21000.0,7000000.0,2674090.0,99.0,May,North_America
100,PG_13,Action,2017,7.6,62000.0,38000000.0,26351322.0,134.0,October,North_America
101,PG_13,Comedy,2009,6.4,187000.0,20000000.0,136316880.0,102.0,April,North_America
102,R,Action,2014,6.4,129000.0,17000000.0,138224951.0,104.0,August,North_America
103,PG_13,Animation,2019,7.5,28000.0,11100000.0,193457467.0,112.0,January,Asia
104,R,Comedy,1994,7.1,144000.0,4400000.0,245700832.0,117.0,April,Europe
105,PG_13,Action,2018,8.4,897000.0,321000000.0,2048359754.0,149.0,April,North_America
106,PG_13,Drama,2012,7.6,208000.0,45000000.0,198087212.0,114.0,January,Europe
107,R,Comedy,1992,7.6,112000.0,11000000.0,64088552.0,120.0,March,North_America
108,PG_13,Comedy,1999,6.2,17000.0,23000000.0,23631929.0,114.0,November,North_America
109,R,Action,1997,6.0,55000.0,50000000.0,110463140.0,124.0,September,North_America
110,PG,Adventure,2001,6.4,4200.0,7000000.0,4760014.0,113.0,April,North_America
111,R,Comedy,2000,4.6,18000.0,23000000.0,22844291.0,122.0,October,North_America
112,R,Action,1999,7.2,83000.0,31000000.0,41067311.0,117.0,July,North_America
113,R,Action,1999,7.1,133000.0,90000000.0,161626121.0,100.0,February,North_America
114,PG,Adventure,2002,5.2,26000.0,33000000.0,115035090.0,99.0,January,North_America
115,PG_13,Biography,2010,7.7,645000.0,40000000.0,224920375.0,120.0,October,North_America
116,PG,Action,2010,6.2,168000.0,40000000.0,359126022.0,140.0,June,North_America
117,PG_13,Action,2014,7.7,764000.0,170000000.0,714421503.0,136.0,April,North_America
118,PG_13,Action,1998,5.4,186000.0,130000000.0,379014294.0,139.0,May,Asia
119,R,Comedy,2002,6.6,50000.0,4000000.0,11832822.0,110.0,October,North_America
120,R,Action,1997,6.2,234000.0,75000000.0,161376069.0,109.0,November,North_America
121,PG_13,Action,1994,7.1,180000.0,55000000.0,196567262.0,116.0,October,North_America
122,PG_13,Comedy,2000,4.9,12000.0,60000000.0,51880044.0,94.0,February,Europe
123,R,Action,1992,6.9,9500.0,8000000.0,16639799.0,107.0,April,North_America
124,PG,Animation,2004,8.2,350000.0,24000000.0,236214446.0,119.0,June,Asia
125,R,Biography,2006,7.0,41000.0,14000000.0,20718608.0,117.0,November,North_America
126,R,Drama,1997,5.8,6600.0,24000000.0,2642983.0,102.0,September,North_America
127,PG,Comedy,1986,6.5,70000.0,25000000.0,39246734.0,104.0,December,North_America
128,R,Drama,2002,7.6,386000.0,8000000.0,85720385.0,113.0,June,Europe
129,R,Comedy,2017,6.7,38000.0,6000000.0,3187255.0,92.0,March,North_America
130,PG,Adventure,1996,5.6,95000.0,60000000.0,129832389.0,89.0,November,North_America
131,R,Action,2016,5.5,87000.0,40000000.0,312242626.0,107.0,January,North_America
132,PG_13,Biography,2018,8.2,414000.0,23000000.0,321752656.0,130.0,November,North_America
133,PG_13,Action,2019,7.5,359000.0,160000000.0,1131927996.0,129.0,July,North_America
134,R,Adventure,1995,6.9,41000.0,28000000.0,31596911.0,139.0,April,Europe
135,PG,Action,2009,5.6,43000.0,70000000.0,76025134.0,92.0,February,North_America
136,PG_13,Comedy,2007,6.2,47000.0,16500000.0,13620075.0,108.0,September,North_America
137,PG_13,Comedy,1997,7.7,282000.0,50000000.0,314178011.0,139.0,December,North_America
138,PG_13,Drama,1994,6.4,7000.0,16000000.0,3359465.0,101.0,September,North_America
139,PG_13,Drama,2012,6.5,103000.0,25000000.0,99357138.0,101.0,April,North_America
140,R,Crime,2008,6.3,17000.0,3500000.0,1138322.0,97.0,July,North_America
141,PG_13,Comedy,2004,6.1,45000.0,50000000.0,170128460.0,106.0,October,North_America
142,R,Horror,1985,4.8,35000.0,2200000.0,21930418.0,92.0,March,North_America
143,PG_13,Action,2005,8.2,1300000.0,150000000.0,373661946.0,140.0,June,Europe
144,PG_13,Drama,2016,7.9,621000.0,47000000.0,203388186.0,116.0,November,North_America
145,R,Drama,2018,7.3,259000.0,10000000.0,80239658.0,127.0,June,North_America
146,PG_13,Comedy,2000,4.7,11000.0,25000000.0,24362772.0,108.0,March,North_America
147,R,Crime,1992,6.3,16000.0,20000000.0,11390479.0,124.0,November,North_America
148,R,Comedy,2009,5.0,21000.0,6000000.0,4591629.0,90.0,March,North_America
149,R,Action,2010,5.5,13000.0,800000.0,156190.0,85.0,November,North_America
150,R,Comedy,1989,6.9,50000.0,18000000.0,46908987.0,103.0,May,North_America
151,PG,Action,2002,5.2,62000.0,38000000.0,119723358.0,100.0,August,North_America
152,R,Crime,1983,7.2,32000.0,10000000.0,2494480.0,94.0,October,North_America
153,PG_13,Action,2018,7.0,333000.0,162000000.0,622674139.0,118.0,July,North_America
154,R,Drama,2018,4.5,59000.0,55000000.0,371987838.0,105.0,February,North_America
155,R,Biography,2000,7.2,110000.0,32000000.0,82343495.0,129.0,November,North_America
156,PG_13,Drama,2019,5.9,6600.0,9000000.0,6750029.0,100.0,May,North_America
157,PG_13,Comedy,2019,6.0,4700.0,10000000.0,16418218.0,90.0,May,Europe
158,R,Drama,2002,7.1,27000.0,30000000.0,27674124.0,101.0,March,Europe
159,R,Fantasy,1993,6.7,28000.0,2000000.0,621392.0,94.0,May,North_America
160,PG_13,Comedy,1989,6.3,4300.0,13000000.0,22026369.0,113.0,February,North_America
161,R,Action,1989,6.2,1400.0,11987578.0,444055.0,113.0,May,Europe
162,R,Comedy,1983,3.7,208.0,220000.0,975414.0,96.0,August,North_America
163,PG_13,Comedy,1987,7.1,11000.0,6000000.0,3685862.0,101.0,October,North_America
164,PG,Adventure,2006,6.1,7600.0,15000000.0,21893591.0,95.0,October,North_America
165,PG_13,Comedy,1994,6.7,49000.0,25000000.0,68792531.0,97.0,April,North_America
166,R,Animation,2008,8.0,56000.0,1500000.0,11179372.0,90.0,June,Asia
